assumption_label,bore_mm,bore_tolerance_diameter_um,cold_interference_fraction,counts,cte_relative_half_range,fractions,liner_material,liner_temperature_center_K,nominal_cold_clearance_um,piston_material,piston_temperature_center_K,piston_tolerance_diameter_um,samples,seed,temperature_error_half_range_K
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 4000, ""sub_1_um"": 0, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 1.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,2.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3864, ""sub_1_um"": 109, ""1_to_3_um"": 27, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.966, ""sub_1_um"": 0.02725, ""1_to_3_um"": 0.00675, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,2.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 4000, ""sub_1_um"": 0, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 1.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,3.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3695, ""sub_1_um"": 170, ""1_to_3_um"": 134, ""3_to_5_um"": 1, ""ge_5_um"": 0}",0.05,"{""interference"": 0.92375, ""sub_1_um"": 0.0425, ""1_to_3_um"": 0.0335, ""3_to_5_um"": 0.00025, ""ge_5_um"": 0.0}",steel_4140,400.0,3.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3783, ""sub_1_um"": 187, ""1_to_3_um"": 30, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.94575, ""sub_1_um"": 0.04675, ""1_to_3_um"": 0.0075, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,5.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3122, ""sub_1_um"": 320, ""1_to_3_um"": 457, ""3_to_5_um"": 98, ""ge_5_um"": 3}",0.05,"{""interference"": 0.7805, ""sub_1_um"": 0.08, ""1_to_3_um"": 0.11425, ""3_to_5_um"": 0.0245, ""ge_5_um"": 0.00075}",steel_4140,400.0,5.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1689, ""sub_1_um"": 900, ""1_to_3_um"": 1180, ""3_to_5_um"": 231, ""ge_5_um"": 0}",0.05,"{""interference"": 0.42225, ""sub_1_um"": 0.225, ""1_to_3_um"": 0.295, ""3_to_5_um"": 0.05775, ""ge_5_um"": 0.0}",steel_4140,400.0,8.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1850, ""sub_1_um"": 458, ""1_to_3_um"": 830, ""3_to_5_um"": 561, ""ge_5_um"": 301}",0.05,"{""interference"": 0.4625, ""sub_1_um"": 0.1145, ""1_to_3_um"": 0.2075, ""3_to_5_um"": 0.14025, ""ge_5_um"": 0.07525}",steel_4140,400.0,8.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 331, ""sub_1_um"": 566, ""1_to_3_um"": 1642, ""3_to_5_um"": 1242, ""ge_5_um"": 219}",0.05,"{""interference"": 0.08275, ""sub_1_um"": 0.1415, ""1_to_3_um"": 0.4105, ""3_to_5_um"": 0.3105, ""ge_5_um"": 0.05475}",steel_4140,400.0,10.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 963, ""sub_1_um"": 369, ""1_to_3_um"": 956, ""3_to_5_um"": 829, ""ge_5_um"": 883}",0.05,"{""interference"": 0.24075, ""sub_1_um"": 0.09225, ""1_to_3_um"": 0.239, ""3_to_5_um"": 0.20725, ""ge_5_um"": 0.22075}",steel_4140,400.0,10.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 4000, ""sub_1_um"": 0, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 1.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,2.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3991, ""sub_1_um"": 8, ""1_to_3_um"": 1, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.99775, ""sub_1_um"": 0.002, ""1_to_3_um"": 0.00025, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,2.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 4000, ""sub_1_um"": 0, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 1.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,3.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3916, ""sub_1_um"": 71, ""1_to_3_um"": 13, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.979, ""sub_1_um"": 0.01775, ""1_to_3_um"": 0.00325, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,3.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3995, ""sub_1_um"": 5, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.99875, ""sub_1_um"": 0.00125, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,5.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3593, ""sub_1_um"": 209, ""1_to_3_um"": 186, ""3_to_5_um"": 12, ""ge_5_um"": 0}",0.05,"{""interference"": 0.89825, ""sub_1_um"": 0.05225, ""1_to_3_um"": 0.0465, ""3_to_5_um"": 0.003, ""ge_5_um"": 0.0}",steel_4140,400.0,5.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3199, ""sub_1_um"": 503, ""1_to_3_um"": 298, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.79975, ""sub_1_um"": 0.12575, ""1_to_3_um"": 0.0745, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",steel_4140,400.0,8.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2678, ""sub_1_um"": 369, ""1_to_3_um"": 576, ""3_to_5_um"": 297, ""ge_5_um"": 80}",0.05,"{""interference"": 0.6695, ""sub_1_um"": 0.09225, ""1_to_3_um"": 0.144, ""3_to_5_um"": 0.07425, ""ge_5_um"": 0.02}",steel_4140,400.0,8.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1689, ""sub_1_um"": 782, ""1_to_3_um"": 1205, ""3_to_5_um"": 321, ""ge_5_um"": 3}",0.05,"{""interference"": 0.42225, ""sub_1_um"": 0.1955, ""1_to_3_um"": 0.30125, ""3_to_5_um"": 0.08025, ""ge_5_um"": 0.00075}",steel_4140,400.0,10.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1840, ""sub_1_um"": 426, ""1_to_3_um"": 762, ""3_to_5_um"": 583, ""ge_5_um"": 389}",0.05,"{""interference"": 0.46, ""sub_1_um"": 0.1065, ""1_to_3_um"": 0.1905, ""3_to_5_um"": 0.14575, ""ge_5_um"": 0.09725}",steel_4140,400.0,10.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 4000, ""sub_1_um"": 0, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 1.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,2.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3968, ""sub_1_um"": 29, ""1_to_3_um"": 3, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.992, ""sub_1_um"": 0.00725, ""1_to_3_um"": 0.00075, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,2.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 4000, ""sub_1_um"": 0, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 1.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,3.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3847, ""sub_1_um"": 109, ""1_to_3_um"": 44, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.96175, ""sub_1_um"": 0.02725, ""1_to_3_um"": 0.011, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,3.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
