measurement_id,source_id,engine_id,measurement_kind,quantity,location,axial_position_mm,value,value_low,value_high,unit,uncertainty,ambient_temperature_K,piston_temperature_K,liner_temperature_K,engine_speed_rpm,load,thermal_state,cooling_state,extraction_method,source_locator,classification,transferability,notes
kruggel1971_piston_sensor_count,kruggel1971_710578,kruggel_80mm,measurement_topology,piston_thermocouple_count,piston,,36,,,count,,,,,2800,,operating,air_cooled,public_summary,summary_lines_34_35,literature_reported,method_only,"Count is instrument topology, not a temperature observation."
kruggel1971_cylinder_sensor_count,kruggel1971_710578,kruggel_80mm,measurement_topology,cylinder_thermocouple_count,cylinder,,12,,,count,,,,,2800,,operating,air_cooled,public_summary,summary_lines_34_35,literature_reported,method_only,"Count is instrument topology, not a temperature observation."
frank1991_piston_span,frank1991_910558,frank_disc_single_cylinder,temperature_delta,piston_temperature_control_span,piston,,50,,,K,,,,,,low_load,controlled_cooling,oil_and_coolant_control,publisher_abstract,abstract_text,literature_reported,qualitative_sensitivity_only,"Primary abstract reports a controlled 50 K piston-temperature variation; no absolute local piston/liner pair is given."
najafabadi2014_crown_reduction,najafabadi2014_pcj,pcj_test_rig,temperature_delta,crown_temperature_reduction_with_PCJ,piston_crown,,70,,,K,,,,,,,test_rig,oil_jet_on_vs_off,abstract_and_author_copy,abstract_and_figures,literature_reported,qualitative_sensitivity_only,"Reported approximate reduction; exact baseline, geometry and operating point are not recoverable from the public abstract."
najafabadi2014_internal_gradient,najafabadi2014_pcj,pcj_test_rig,temperature_delta,internal_piston_temperature_gradient,piston,,50,,,K,,,,,,,test_rig,oil_jet,abstract_and_author_copy,abstract_and_figures,literature_reported,qualitative_sensitivity_only,"Reported approximate gradient; not an axial piston/liner clearance pair."
shang2020_head_temperature_low,shang2020_ringless,shang_0p99cc_ringless,temperature_range,cylinder_head_temperature_low,cylinder_head,,160,,,degC,,,,,18000,full_load,operating,air_cooled,article_text_and_results,engine_description_and_temperature_results,literature_reported,near_scale_thermal_magnitude_only,"Reported low end of the approximately 160-200 C cylinder-head temperature range. Head temperature is not piston or liner temperature."
shang2020_head_temperature_high,shang2020_ringless,shang_0p99cc_ringless,temperature_range,cylinder_head_temperature_high,cylinder_head,,200,,,degC,,,,,18000,full_load,operating,air_cooled,article_text_and_results,engine_description_and_temperature_results,literature_reported,near_scale_thermal_magnitude_only,"Reported high end of the approximately 160-200 C cylinder-head temperature range. Head temperature is not piston or liner temperature."
shang2020_max_output_power,shang2020_ringless,shang_0p99cc_ringless,performance,max_output_power,engine,,70,,,W,,,,,18000,full_load,operating,air_cooled,article_text_and_results,engine_description_and_performance_results,literature_reported,near_scale_engine_context,"Approximately 70 W maximum output; retained as scale/context evidence, not a thermal or leakage calibration."
shang2020_friction_power_lower_bound,shang2020_ringless,shang_0p99cc_ringless,performance,max_friction_power_lower_bound,engine,,40,,,W,lower_bound,,,,18000,full_load,operating,air_cooled,article_text_and_results,engine_description_and_performance_results,literature_reported,near_scale_engine_context,"Maximum friction power exceeds 40 W; value is a lower bound, not an exact measurement."
shang2020_peak_speed,shang2020_ringless,shang_0p99cc_ringless,operating_point,peak_speed,engine,,18000,,,rpm,,,,,18000,full_load,operating,air_cooled,article_text_and_results,engine_description_and_performance_results,literature_reported,near_scale_engine_context,"Highest operating-speed region reported with the power/friction results."
shang2024_block_temperature_70,shang2024_hcci,shang_0p547cc_hcci,temperature_setpoint,cylinder_block_temperature,block,,70,,,degC,,,,,,controlled,temperature_controlled,,article_text_and_figures,section_3_2_figures_6_8,literature_reported,wall_state_only,"Controlled cylinder-block temperature; not a local piston/liner temperature pair."
shang2024_block_temperature_90,shang2024_hcci,shang_0p547cc_hcci,temperature_setpoint,cylinder_block_temperature,block,,90,,,degC,,,,,,controlled,temperature_controlled,,article_text_and_figures,section_3_2_figures_6_8,literature_reported,wall_state_only,"Controlled cylinder-block temperature; not a local piston/liner temperature pair."
shang2024_block_temperature_110,shang2024_hcci,shang_0p547cc_hcci,temperature_setpoint,cylinder_block_temperature,block,,110,,,degC,,,,,,controlled,temperature_controlled,,article_text_and_figures,section_3_2_figures_6_8,literature_reported,wall_state_only,"Controlled cylinder-block temperature; not a local piston/liner temperature pair."
