source_id,title,authors,year,source_type,engine_or_fixture,bore_mm,stroke_mm,access_url,access_status,quantitative_status,primary_source,notes
tian2010_ap09,Experimental Tests and Simulations of A 1.5 cc Miniature Glow-Ignition Two-Stroke Engine,"Lei Tian; David Kittelson; William Durfee",2010,SAE technical paper,AP .09 miniature glow engine,12.5,12.0,https://saemobilus.sae.org/papers/experimental-tests-simulations-a-15-cc-miniature-glow-ignition-two-stroke-engine-2010-32-0018,abstract_only,no point-level P-T-fit-flow table,yes,"Abstract confirms cylinder/crankcase pressure, air/fuel flow, torque and a verified miniature blow-by model; no ingestible paired temperature/clearance/flow values recovered."
menon2010_umd,The Scaling of Performance and Losses in Miniature Internal Combustion Engines,"Shyam Kumar Menon",2010,doctoral thesis,seven miniature glow engines,12.5,,https://drum.lib.umd.edu/items/a1920304-5162-42cd-9b2a-01904ee6dcd6/full,metadata_and_pdf_lead,no point-level piston-temperature table extracted,yes,"Repository metadata identifies 0.16–7.5 cm3 engines and loss measurements; full PDF is a recovery target, not yet numerically ingested."
ccefp_y6_ap09,CCEFP Year 6 Volume 2 report,CCEFP consortium,2012,program report,AP .09/free-piston lineage,12.5,12.0,https://www.ccefp.org/wp-content/uploads/2016/05/CCEFP_Y6_Volume_2.pdf,open_pdf,qualitative thermal-fit evidence only,yes,"Report family documents AP .09 lineage and design context; no absolute flow row with simultaneous fit and temperature was recovered."
furuhama1964_small,Some Measurements of the Piston Temperatures in a Small Type Gasoline Engine,"Shoichi Furuhama; Toshio Tada; Tomikazu Nakamura",1964,journal article,40 mm-stroke air-cooled two-stroke motorcycle engine,,40.0,https://doi.org/10.1299/jsme1958.7.422,open_pdf_scan,temperature curves require figure digitization,no,"J-STAGE abstract confirms moving-piston thermocouple method and operation up to 8000 rpm; scanned figures were not treated as tabulated data."
kruggel1971_710578,Calculation and Measuring of Piston Temperatures of Air-Cooled Two-Stroke Gasoline Engines,"O. Kruggel",1971,SAE technical paper,80 mm-bore air-cooled two-stroke test engine,80.0,,https://eurekamag.com/research/103/544/103544865.php,abstract_summary,measurement topology only,no,"Secondary public summary reports 36 piston and 12 cylinder thermocouple locations and operation to 2800 rpm; full SAE paper and temperature table remain inaccessible."
ishibashi2019_0548,Piston Temperature Measurement during Engine Warm-up and Application for Analysis of Piston Behavior,"Akira Ishibashi; Kunihiko Hiraoka; Shinya Kubota; Masanobu Saito",2019,SETC technical paper,motorcycle engine,,,https://tech.jsae.or.jp/paperinfo/en/content/conf2019-07.34/,abstract_only,warm-up temperature maps not recovered,yes,"Abstract states telemetry measured the entire piston temperature distribution while accounting for cylinder-wall temperature from cold start to warm-up completion."
frank1991_910558,The Effect of Piston Temperature on Hydrocarbon Emissions from a Spark-Ignited Direct-Injection Engine,"Richard M. Frank; John B. Heywood",1991,SAE technical paper,single-cylinder DISC engine,,,https://saemobilus.sae.org/papers/effect-piston-temperature-hydrocarbon-emissions-a-spark-ignited-direct-injection-engine-910558,abstract_only,reported controlled piston-temperature span,yes,"Publisher abstract reports piston temperature varied by 50 K through coolant/oil control; not a miniature-engine clearance datum."
najafabadi2014_pcj,Experimental and numerical study of piston thermal management using piston cooling jet,"Mohammad Izadi Najafabadi; Seyed Mostafa Mirsalim; Seyed Vahid Hosseini; Shahabeddin Alaviyoun",2014,journal article,oil-jet piston thermal-management rig,,,https://doi.org/10.1007/s12206-013-1183-7,abstract_and_author_copy,reported temperature deltas only,yes,"Public abstract reports about 70 K crown-temperature reduction and about 50 K internal piston gradient with PCJ; exact baseline geometry/temperature pairs are not available here."
shang2020_ringless,Experimental test and thermodynamic analysis on scaling-down limitations of a reciprocating internal combustion engine,"Huichao Shang; Li Zhang; Bin Chen; Xi Chen",2020,journal article,0.99 cc ringless air-cooled two-stroke glow engine,11.25,10.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC10451914/,open_access,reported near-scale head-temperature and power values; no paired piston-liner-flow table,yes,"The tested engine is explicitly no-piston-ring and near the 12.5 mm bridge scale. Head temperature is a thermal-magnitude comparator only; it is not a local piston/liner temperature pair."
shang2024_hcci,Combustion Test for the Smallest Reciprocating Piston Internal Combustion Engine with HCCI on the Millimeter Scale,"Huichao Shang; Li Zhang; Zhigang Tang; Jinlin Han; Yingzhang Wang; Tao Zhang",2024,journal article,approximately 0.547 cc HCCI millimeter-scale engine,9.0,8.6,https://doi.org/10.3390/app14167359,open_access,controlled cylinder-block temperature points; no paired piston-liner-flow table,yes,"Section 3.2 reports block-temperature tests at 70/90/110/130 C. Block temperature is a wall-state sensitivity, not a local liner-TDC or piston temperature."
