bore_mm,candidate,cold_base_um,conditional_preheat_Tl_K_at_threshold,conditional_preheat_Tp_K_at_threshold,conditional_preheat_safe_intervals_K,conditional_preheat_threshold_K_liner_30K_hotter,conditional_preheat_type_liner_30K_hotter,fit_feasible,fit_lower_bound_um,fit_upper_bound_um,h_model,leakage_gas_temperature_K,leakage_pressure_bar,liner_taper_um,machining_error_um,nonnegative_fit_feasible,nonuniform_equivalent_clearance_um,nonuniform_leakage_status,nonuniform_mdot_mg_s,periodic_below_1um_margin_at_base,periodic_contact_at_base,periodic_min_hot_clearance_at_base_um,piston_barrel_um,piston_taper_um,worst_profile_deg,worst_station
8.5,neutral,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,True,9.898555709547681,12.714903522688495,constant_h,721.6595514621062,18.58921398729009,0.0,-1.0,True,2.1796579461313197,annulus_positive_clearance,0.5989930670045759,False,False,2.1017433938217422,0.0,0.0,60.0,crown
8.5,neutral,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,True,8.898555709547681,11.714903522688495,constant_h,721.6595514621062,18.58921398729009,0.0,0.0,True,3.183505390997409,annulus_positive_clearance,1.8662659368180636,False,False,3.104691843334173,0.0,0.0,60.0,crown
8.5,neutral,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,True,7.898555709547681,10.714903522688495,constant_h,721.6595514621062,18.58921398729009,0.0,1.0,True,4.186899160064036,annulus_positive_clearance,4.245552972566268,False,False,4.107640292847492,0.0,0.0,60.0,crown
8.5,liner_open_top,10.0,646.0871875,616.0871875,"[[293.15, 616.0871875]]",616.0871875,maximum_safe,False,11.752770280459465,10.864428337363751,constant_h,439.2409792105603,4.7971686965397735,2.0,-1.0,False,0.41283846446772554,annulus_positive_clearance,0.0004272077504434762,True,False,0.2422304771956263,0.0,0.0,-144.0,skirt_end
8.5,liner_open_top,10.0,646.0871875,616.0871875,"[[293.15, 616.0871875]]",616.0871875,maximum_safe,False,10.752770280459465,9.864428337363751,constant_h,439.2409792105603,4.7971686965397735,2.0,0.0,False,1.9617601357741048,annulus_positive_clearance,0.04583913105776057,False,False,1.2450826720327157,0.0,0.0,-144.0,skirt_end
8.5,liner_open_top,10.0,646.0871875,616.0871875,"[[293.15, 616.0871875]]",616.0871875,maximum_safe,False,9.752770280459465,8.864428337363751,constant_h,439.2409792105603,4.7971686965397735,2.0,1.0,False,3.2681140075948854,annulus_positive_clearance,0.21192893525396125,False,False,2.2479348668706933,0.0,0.0,-144.0,skirt_end
8.5,liner_pinch_top,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,False,11.898555709547681,10.714903522688495,constant_h,721.6595514621062,18.58921398729009,-2.0,-1.0,False,0.16385601215916565,annulus_positive_clearance,0.0002544742854210312,True,False,0.09584649479421614,0.0,0.0,60.0,crown
8.5,liner_pinch_top,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,False,10.898555709547681,9.714903522688495,constant_h,721.6595514621062,18.58921398729009,-2.0,0.0,False,1.766858177270697,annulus_positive_clearance,0.31905226559640604,False,False,1.098794944307535,0.0,0.0,60.0,crown
8.5,liner_pinch_top,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,False,9.898555709547681,8.714903522688495,constant_h,721.6595514621062,18.58921398729009,-2.0,1.0,False,3.120852243983635,annulus_positive_clearance,1.7582328226376518,False,False,2.1017433938217422,0.0,0.0,60.0,crown
8.5,piston_barrel_outward,10.0,648.63,618.63,"[[293.15, 618.63]]",618.63,maximum_safe,True,11.818379899169267,12.714903522688495,constant_h,842.9794904411907,29.75350604040195,0.0,-1.0,True,0.29791717973871507,annulus_positive_clearance,0.0033603209491165575,True,False,0.1763470972058201,2.0,0.0,45.0,ringland_or_mid_skirt
