below_contact_margin,bore_mm,candidate,cold_interference,cold_radial_clearance_um,h_model,hot_radial_clearance_um,interference,label,liner_temperature_K,piston_temperature_K,sample,z_mm
False,8.5,neutral,False,10.0,constant_h,3.1216725357747777,False,crown,397.9498912719077,439.7789541486765,first,0.0
False,8.5,neutral,False,10.0,constant_h,3.154798095554412,False,upper_piston,396.93303720382903,438.7193493335701,first,2.0
False,8.5,neutral,False,10.0,constant_h,3.187923655334046,False,ringland_or_mid_skirt,395.9161831357503,437.65974451846364,first,4.0
False,8.5,neutral,False,10.0,constant_h,3.2210492151145687,False,lower_skirt,394.8993290676716,436.60013970335723,first,6.0
False,8.5,neutral,False,10.0,constant_h,3.254174774894203,False,skirt_end,393.88247499959294,435.5405348882508,first,8.0
False,8.5,neutral,False,10.0,constant_h,3.104691843334173,False,crown,398.2276097389933,440.1581340326085,worst,0.0
False,8.5,neutral,False,10.0,constant_h,3.1451251128364888,False,upper_piston,397.1908860150248,439.0024472741197,worst,2.0
False,8.5,neutral,False,10.0,constant_h,3.1855583823396927,False,ringland_or_mid_skirt,396.1541622910562,437.8467605156309,worst,4.0
False,8.5,neutral,False,10.0,constant_h,3.2259916518428966,False,lower_skirt,395.1174385670877,436.69107375714214,worst,6.0
False,8.5,neutral,False,10.0,constant_h,3.2664249213452123,False,skirt_end,394.08071484311915,435.53538699865334,worst,8.0
True,8.5,neutral,False,10.0,angle_correlation,-0.7408486820743576,True,crown,446.87040249901384,516.4331980268081,first,0.0
True,8.5,neutral,False,10.0,angle_correlation,-0.6702398561895251,True,upper_piston,445.5437385440849,514.740773589008,first,2.0
True,8.5,neutral,False,10.0,angle_correlation,-0.5996310303046926,True,ringland_or_mid_skirt,444.2170745891559,513.0483491512078,first,4.0
True,8.5,neutral,False,10.0,angle_correlation,-0.52902220441986,True,lower_skirt,442.89041063422695,511.3559247134077,first,6.0
True,8.5,neutral,False,10.0,angle_correlation,-0.4584133785350275,True,skirt_end,441.563746679298,509.6635002756076,first,8.0
True,8.5,neutral,False,10.0,angle_correlation,-0.769843724498287,True,crown,447.4886263853079,517.1776318493988,worst,0.0
True,8.5,neutral,False,10.0,angle_correlation,-0.6853047326744743,True,upper_piston,446.1162616212826,515.2967843400386,worst,2.0
True,8.5,neutral,False,10.0,angle_correlation,-0.6007657408506617,True,ringland_or_mid_skirt,444.74389685725725,513.4159368306782,worst,4.0
True,8.5,neutral,False,10.0,angle_correlation,-0.5162267490277372,True,lower_skirt,443.37153209323196,511.53508932131797,worst,6.0
True,8.5,neutral,False,10.0,angle_correlation,-0.4316877572039246,True,skirt_end,441.99916732920667,509.65424181195766,worst,8.0
True,12.5,neutral,False,10.0,constant_h,-4.788527919052044,True,crown,435.9091053893803,501.1511138022222,first,0.0
True,12.5,neutral,False,10.0,constant_h,-4.682310056066896,True,upper_piston,434.7852937574153,499.57814499237423,first,2.0
True,12.5,neutral,False,10.0,constant_h,-4.576092193080861,True,ringland_or_mid_skirt,433.6614821254502,498.00517618252627,first,4.0
True,12.5,neutral,False,10.0,constant_h,-4.469874330094825,True,lower_skirt,432.5376704934852,496.43220737267836,first,6.0
True,12.5,neutral,False,10.0,constant_h,-4.36365646710879,True,skirt_end,431.4138588615202,494.8592385628304,first,8.0
True,12.5,neutral,False,10.0,constant_h,-4.844529837719769,True,crown,436.2380422409964,501.803088963891,worst,0.0
True,12.5,neutral,False,10.0,constant_h,-4.718802533055566,True,upper_piston,435.0915164059563,500.0648120184356,worst,2.0
True,12.5,neutral,False,10.0,constant_h,-4.593075228391363,True,ringland_or_mid_skirt,433.9449905709163,498.32653507298016,worst,4.0
True,12.5,neutral,False,10.0,constant_h,-4.467347923727161,True,lower_skirt,432.7984647358762,496.5882581275247,worst,6.0
True,12.5,neutral,False,10.0,constant_h,-4.341620619063846,True,skirt_end,431.65193890083617,494.84998118206926,worst,8.0
True,12.5,neutral,False,10.0,angle_correlation,-11.512322129028085,True,crown,498.27694839491886,594.8209892340813,first,0.0
True,12.5,neutral,False,10.0,angle_correlation,-11.33945868019115,True,upper_piston,496.87212005769686,592.5464407177395,first,2.0
True,12.5,neutral,False,10.0,angle_correlation,-11.166595231355991,True,ringland_or_mid_skirt,495.4672917204748,590.2718922013978,first,4.0
True,12.5,neutral,False,10.0,angle_correlation,-10.993731782519944,True,lower_skirt,494.0624633832528,587.9973436850561,first,6.0
True,12.5,neutral,False,10.0,angle_correlation,-10.820868333684786,True,skirt_end,492.6576350460308,585.7227951687144,first,8.0
True,12.5,neutral,False,10.0,angle_correlation,-11.600551447717322,True,crown,499.0222347540128,596.0009337680641,worst,0.0
True,12.5,neutral,False,10.0,angle_correlation,-11.393586107109499,True,upper_piston,497.5632560118899,593.4277111951033,worst,2.0
True,12.5,neutral,False,10.0,angle_correlation,-11.186620766500788,True,ringland_or_mid_skirt,496.10427726976707,590.8544886221423,worst,4.0
True,12.5,neutral,False,10.0,angle_correlation,-10.979655425892076,True,lower_skirt,494.6452985276442,588.2812660491813,worst,6.0
True,12.5,neutral,False,10.0,angle_correlation,-10.772690085284253,True,skirt_end,493.1863197855213,585.7080434762205,worst,8.0
