assumption_label,converged,cooling_scale,cycles_completed,feasible,h_model,h_scale,initial_temperature_K,liner_material,liner_tdc_max_K,liner_tdc_min_K,lower_bound_is_negative_interference_target,nonnegative_cold_fit_feasible,periodic_converged,periodic_min_path_hot_clearance_3um,piston_material,piston_skirt_max_K,piston_skirt_min_K,required_cold_lower_um,required_cold_upper_um,temperature_offset_K,warmup_converged,warmup_min_path_hot_clearance_3um
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,constant_h,0.75,300.0,steel_4140,412.569029967309,412.1066946201463,False,True,True,-3.590279042517075,al_4032_t6,442.98554587741717,442.9459216676044,8.573170447459802,11.287954926962927,-20.0,False,1.3117327171974225
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,constant_h,0.75,300.0,steel_4140,421.0735970794988,420.5861534943505,False,True,True,-4.012091009479413,al_4032_t6,453.2925701115625,453.2510479159485,8.992387760625665,11.691102674670836,0.0,False,1.2280392745944724
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,constant_h,0.75,300.0,steel_4140,429.5781641909181,429.06494566997264,False,True,True,-4.433904620918305,al_4032_t6,463.599594345948,463.5561308734893,9.411424547848734,12.09407782468853,20.0,False,1.144345831989746
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,constant_h,0.75,300.0,steel_4140,373.9354500618477,373.3861145416309,False,True,True,-3.0581455396747614,al_4032_t6,410.4096213883858,410.36344553275006,8.046022938733039,10.710411296629843,-20.0,False,1.1884732525304642
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,constant_h,0.75,300.0,steel_4140,379.5604631849398,378.9769145723432,False,True,True,-3.440298279549836,al_4032_t6,418.2885989975407,418.2398580011331,8.42634769617934,11.070906832634655,0.0,False,1.0953673522884344
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,constant_h,0.75,300.0,steel_4140,385.18547630860724,384.56674549181423,False,True,True,-3.822451535689275,al_4032_t6,426.1675766070116,426.11620185670813,8.806545349676968,11.431284297120586,20.0,False,1.0022614520464046
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,constant_h,0.75,300.0,steel_4140,356.36460529709956,355.7733125589773,False,True,True,-2.678259975999353,al_4032_t6,395.5938441919571,395.54452376872507,7.66846081840437,10.31221232104712,-20.0,False,1.0874284701118953
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,constant_h,0.75,300.0,steel_4140,360.67997545589367,360.05002801293983,False,True,True,-3.0770220876155108,al_4032_t6,402.3685278059524,402.3163135516511,8.065650468507084,10.688060040103403,0.0,False,0.9866098161390724
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,constant_h,0.75,300.0,steel_4140,364.9953456150374,364.3256692485816,False,True,True,-3.4757856050680047,al_4032_t6,409.1432114198368,409.08802159160086,8.462725777880822,11.063801875212881,20.0,False,0.8857911621671377
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,constant_h,1.0,300.0,steel_4140,430.5055737695906,429.93947197136373,False,True,True,-4.5116669322888825,al_4032_t6,464.94760479306,464.9003066515906,9.488712434211369,12.15772992823023,-20.0,False,0.8626398325368712
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,constant_h,1.0,300.0,steel_4140,440.39359071694605,439.7992800623021,False,True,True,-4.991000894570163,al_4032_t6,476.81400056846644,476.76468754576035,9.964614152270912,12.615692917042967,0.0,False,0.7534186933106923
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,constant_h,1.0,300.0,steel_4140,450.2816076641606,449.65839939252163,False,True,True,-5.470335106342539,al_4032_t6,488.68039634348486,488.6290301018997,10.44027785073603,13.073430294627345,20.0,False,0.644197554081849
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,constant_h,1.0,300.0,steel_4140,389.3990111123979,388.71395795348,False,True,True,-4.101842462916672,al_4032_t6,431.88341650226647,431.82768718104006,9.084416781144858,11.684765577762313,-20.0,False,0.7052823853168633
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,constant_h,1.0,300.0,steel_4140,396.21955598161986,395.4939914317949,False,True,True,-4.550597152431557,al_4032_t6,441.2824818122978,441.22390863723354,9.530581940886739,12.10787217888688,0.0,False,0.584049316934454
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,constant_h,1.0,300.0,steel_4140,403.0401008526031,402.27291499829636,False,True,True,-4.999353900573489,al_4032_t6,450.68154712365396,450.6200602379062,9.976570806807581,12.530813550133683,20.0,False,0.46281624855204484
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,constant_h,1.0,300.0,steel_4140,369.531304655271,368.7847505237882,False,True,True,-3.87164518259997,al_4032_t6,415.90276658521276,415.8427242582118,8.856777160158387,11.426788669427784,-20.0,False,0.576247917028816
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,constant_h,1.0,300.0,steel_4140,374.8692727566075,374.0757353625024,False,True,True,-4.337745060227327,al_4032_t6,424.1093167780931,424.04598792991135,9.320584962839952,11.862162358591917,0.0,False,0.44516920941095606
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,constant_h,1.0,300.0,steel_4140,380.2072408589205,379.3653946886391,False,True,True,-4.771721250286021,al_4032_t6,432.31586697109725,432.2491650457316,9.752197439366862,12.268247732107195,20.0,False,0.31409050179043163
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,constant_h,1.25,300.0,steel_4140,444.3270337385955,443.66609296807354,False,True,True,-5.198433255171331,al_4032_t6,481.5994017221755,481.5453052879828,10.17052130309714,12.803521882560904,-20.0,False,0.43358414712457716
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,constant_h,1.25,300.0,steel_4140,455.29148530628316,454.60010172385535,False,True,True,-5.718820464876373,al_4032_t6,494.6399878687704,494.5838152113259,10.686778973084966,13.30063204571484,0.0,False,0.29995405435556677
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,constant_h,1.25,300.0,steel_4140,466.2559368740788,465.5334245140587,False,True,True,-6.239207674595626,al_4032_t6,507.6805740155497,507.62229428127864,11.202753142958006,13.797473185543678,20.0,False,0.1599595629064865
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,constant_h,1.25,300.0,steel_4140,402.2834956244298,401.475071640803,False,True,True,-4.920357106819928,al_4032_t6,449.2163777425979,449.15234756966504,9.898031434361316,12.446707984559566,-20.0,False,0.24516821363640418
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,constant_h,1.25,300.0,steel_4140,410.10731223373654,409.25341351288296,False,True,True,-5.419975122006981,al_4032_t6,459.8379653531725,459.7709196680855,10.394365854201178,12.917608228973155,0.0,False,0.0971604636026413
