cycle,cycle_energy_balance_residual_J,cycle_max_delta_K,external_energy_J,gas_energy_J,h_model,liner_material,liner_tdc_end_K,max_temperature_K,min_path_hot_clearance_3um,min_temperature_K,piston_material,piston_skirt_end_K,skirt_liner_tdc_hot_clearance_3um
1,2.0983383173059083,1.8330245586986962,-0.0005163842207130932,2.0988547015266215,constant_h,steel_4140,301.8330245586987,301.8330245586987,2.7785787467529133,300.01292840612126,al_4032_t6,300.2776887544652,2.859261431611415
2,2.0880421362588955,1.5718429589637708,-0.0026084265920778083,2.090650562850973,constant_h,steel_4140,303.40486751766247,303.40486751766247,2.7692699796233455,300.05016130615184,al_4032_t6,300.63368305338304,2.910762444698456
3,2.0775429264221725,1.358070388056774,-0.005925285085876762,2.083468211508049,constant_h,steel_4140,304.76293790571924,304.76293790571924,2.759156354551706,300.11608583602504,al_4032_t6,301.04484415077854,2.9467249114993876
4,2.066934814179749,1.1848268586667814,-0.010139122210213153,2.077073936389962,constant_h,steel_4140,305.947764764386,305.947764764386,2.747921300945144,300.2127374074048,al_4032_t6,301.494440507295,2.970611579619309
5,2.0562811376200587,1.0450755563753091,-0.015010162310572197,2.071291299930631,constant_h,steel_4140,306.99284032076133,306.99284032076133,2.735498647550294,300.34055538946967,al_4032_t6,301.970406360334,2.985138906735685
6,2.04562490661854,0.9324774472941613,-0.020361635270022077,2.065986541888562,constant_h,steel_4140,307.9253177680555,307.9253177680555,2.7219474176707337,300.4989201763264,al_4032_t6,302.4640702748263,2.992417700952821
7,2.034995401220453,0.841657979858212,-0.026062442535472956,2.061057843755926,constant_h,steel_4140,308.7669757479137,308.7669757479137,2.7073832662276587,300.686533776493,al_4032_t6,302.96922712458866,2.99407918043304
8,2.024412458873572,0.7682078852094492,-0.03201492647750754,2.0564273853510793,constant_h,steel_4140,309.53518363312315,309.53518363312315,2.69194138851514,300.9016880456829,al_4032_t6,303.48146103143296,2.9913803973231623
9,2.0138893367750934,0.7085772339370919,-0.038146102666616055,2.0520354394417093,constant_h,steel_4140,310.24376086706025,310.24376086706025,2.6757569999942277,301.1424521343563,al_4032_t6,303.99765167390836,2.985289105402522
10,2.00343466821806,0.6599385820980501,-0.04440129625272064,2.0478359644707806,constant_h,steel_4140,310.9036994491583,310.9036994491583,2.6589556424543304,301.4068018657683,al_4032_t6,304.51561455910485,2.976550552542534
11,1.993053825301445,0.6200530557815114,-0.0507394792157101,2.043793304517155,constant_h,steel_4140,311.5237525049398,311.5237525049398,2.641648963027876,301.69270744872495,al_4032_t6,305.03383913958015,2.9657393249458153
12,1.9827498818571494,0.5871525753775586,-0.05712982924819684,2.039879711105346,constant_h,steel_4140,312.11090508031737,312.11090508031737,2.6239334987794294,301.9981913973436,al_4032_t6,305.5512983723792,2.953299248518171
13,1.9725243007265214,0.5684096743303257,-0.06354917640520066,2.036073477131722,constant_h,steel_4140,312.6707467445767,312.6707467445767,2.605891060158072,302.3213652582727,al_4032_t6,306.0673104203076,2.939573944652274
14,1.9623774273118608,0.5573042610429866,-0.06998010068883054,2.0323575280006914,constant_h,steel_4140,313.20776474322076,313.20776474322076,2.587589909524013,302.66045137467665,al_4032_t6,306.5814383896969,2.924830166404213
15,1.952308844971817,0.5477726205462545,-0.07640951014306648,2.0287183551148833,constant_h,steel_4140,313.72557398508366,313.72557398508366,2.5690862775888945,303.0137941934946,al_4032_t6,307.09341779699565,2.909275601736816
16,1.942317630842778,0.5395094390234476,-0.08282757545472064,2.025145206297499,constant_h,steel_4140,314.2270973295768,314.2270973295768,2.550425961780789,303.37986436895324,al_4032_t6,307.60310423376205,2.893072456766177
17,1.9324025393846271,0.5322789528701151,-0.08922693007201957,2.021629469456647,constant_h,steel_4140,314.7147069997549,314.7147069997549,2.5316458680411102,303.75725800255555,al_4032_t6,308.1104357303026,2.876347828858705
18,1.922562133248209,0.5258975589114243,-0.09560206865458294,2.018164201902792,constant_h,steel_4140,315.1903356795049,315.1903356795049,2.5127754264033797,304.14469269529957,al_4032_t6,308.61540580277097,2.8592016404980214
19,1.9127948756840154,0.520220964312557,-0.10194889400918283,2.0147437696931982,constant_h,steel_4140,315.65556399283815,315.65556399283815,2.493837850768621,304.5410016044726,al_4032_t6,309.1180442537901,2.8417127197819525
20,1.9030991948854512,0.5151346697807071,-0.10826437539954471,2.011363570284996,constant_h,steel_4140,316.1116895767166,316.1116895767166,2.4748512362338104,304.9451263462353,al_4032_t6,309.6184035897926,2.8239434715935374
21,1.8934735278999533,0.5105469025149887,-0.11454629052369292,2.008019818423646,constant_h,steel_4140,316.55978178971543,316.55978178971543,2.455829500004114,305.35610933072405,al_4032_t6,310.11654949780814,2.8059434756224633
