record_id,mixture_number,mixture_label,ch4_volume_fraction,dme_volume_fraction,equivalence_ratio,temperature_adjusted_K,pressure_adjusted_atm,ignition_delay_us,pressure_original_atm,temperature_original_K,high_temperature_correlation_us,low_temperature_correlation_us,adjustment_status,ignition_target,ignition_type,facility,source_instrument,provenance,notes
zinner2008_mix1_row01,1,80CH4_20DME,0.80,0.20,2.0,1487,12.4,39,13.2,1505,32,,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 1",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
zinner2008_mix1_row02,1,80CH4_20DME,0.80,0.20,2.0,1384,13.8,84,14.8,1401,82,,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 2",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
zinner2008_mix1_row03,1,80CH4_20DME,0.80,0.20,2.0,1338,15.4,128,16.5,1355,127,,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 3",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
zinner2008_mix1_row04,1,80CH4_20DME,0.80,0.20,2.0,1276,15.6,235,16.2,1286,291,,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 4",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
zinner2008_mix1_row05,1,80CH4_20DME,0.80,0.20,2.0,1195,17.0,477,17.7,1204,825,,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 5",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
zinner2008_mix1_row06,1,80CH4_20DME,0.80,0.20,2.0,1123,17.7,915,18.5,1133,,948,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 6",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
zinner2008_mix1_row07,1,80CH4_20DME,0.80,0.20,2.0,1074,18.9,1311,19.7,1082,,1153,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 7",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
zinner2008_mix1_row08,1,80CH4_20DME,0.80,0.20,2.0,1020,19.1,1754,20.1,1030,,1519,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 8",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
zinner2008_mix1_row09,1,80CH4_20DME,0.80,0.20,2.0,993,20.2,1809,21.2,1003,,1699,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 9",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
zinner2008_mix1_row10,1,80CH4_20DME,0.80,0.20,2.0,956,20.5,2091,21.7,966,,2121,adjusted_state_not_delay,endwall pressure rise,total ignition delay (tau_ign),not_stated_per_appendix_row,endwall piezoelectric pressure transducer,"Zinner 2008 Appendix TABULATED DATA, Mix #1, printed p.55, PDF p.69, row 10",Adjusted T/P are the thesis adjusted state; original P/T and both thesis correlation columns are retained verbatim. Facility is not assigned because the appendix table does not label rows.
