temperature_K,pressure_bar,ignition_delay_s,equivalence_ratio,composition,source_file,ignition_target,ignition_type,simulated_delay_s,simulated_to_experiment_ratio,ignited
1186.5,13.5,0.000336,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.0004793831712259815,1.4267356286487545,True
1055.3,13.5,0.0015739999999999999,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.002659241049752865,1.6894797012407023,True
997.94,13.5,0.0034219999999999997,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.006484358235597497,1.8949030495609287,True
788.0,13.5,0.005546,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.008173475521323116,1.4737604618325129,True
771.83,13.5,0.0052759999999999994,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.008210699907864308,1.5562357672221965,True
748.15,13.5,0.00569,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.008902252850048782,1.564543558883793,True
696.24,13.5,0.008335,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.015142779857090073,1.8167702288050476,True
1354.3,3.2,0.000108,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.00036348286577799773,3.365582090537016,True
1324.6,3.2,0.00017099999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.0004504262774851457,2.6340717981587467,True
1259.3,3.2,0.00036399999999999996,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.0007590020955678523,2.0851705922193746,True
1245.0,3.2,0.00048499999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.000860843066688979,1.7749341581216063,True
1177.5,3.2,0.001178,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.0016792673761004382,1.425524088370491,True
1131.6,3.2,0.001749,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.0028783732548567005,1.6457251314217842,True
1325.7,6.5,0.00010899999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,0.00022272243739640906,2.0433251137285238,True
1268.7,6.5,0.000178,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,0.00034707445946220245,1.949856513832598,True
1273.2,6.5,0.000196,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,0.00033434882323331896,1.7058613430271377,True
1215.2,6.5,0.00042699999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,0.0005618178099329521,1.3157325759553915,True
1172.4,6.5,0.000649,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,0.0008758839922834842,1.3495901267850297,True
1157.9,6.5,0.000592,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,0.0010322728114471502,1.7437040733904565,True
1088.0,6.5,0.0016979999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,0.0025539083954107564,1.5040685485340144,True
1047.8,6.5,0.00309,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,0.0047256337873167395,1.5293313227562264,True
1273.5,13.5,0.000129,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.00016106305262918462,1.2485507955750748,True
1186.4,13.5,0.000283,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.00036230295885871373,1.2802224694654196,True
1176.3,13.5,0.00029099999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.000403854257856021,1.387815319092856,True
1132.5,13.5,0.00041999999999999996,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.0006739944787838945,1.6047487590092728,True
1131.3,13.5,0.0005239999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.000684191621489791,1.3057092013163951,True
1101.4,13.5,0.000794,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.0010124149420770983,1.275081791029091,True
1066.8,13.5,0.000954,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.001660039832222316,1.740083681574755,True
1025.7,13.5,0.001483,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.003118708369846778,2.1029726027287783,True
944.66,13.5,0.0034779999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.009147748175057301,2.6301748634437323,True
944.6,13.5,0.005215,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.009151998171904381,1.754937329224234,True
940.14,13.5,0.004340999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.009449997529431431,2.176917191760293,True
934.85,13.5,0.0033539999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.00975045915023087,2.9071136404981726,True
930.19,13.5,0.003763,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.009957776791537375,2.646233534822582,True
906.46,13.5,0.006402,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.009922321714361025,1.5498784308592666,True
885.85,13.5,0.006588,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.008470380426246793,1.2857286621503936,True
841.09,13.5,0.0033399999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.005833025351914052,1.7464147760221715,True
