temperature_K,pressure_bar,ignition_delay_s,equivalence_ratio,composition,source_file,ignition_target,ignition_type,simulated_delay_s,simulated_to_experiment_ratio,ignited
1186.5,13.5,0.000336,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,6.992738282046445e-05,0.20811721077519182,True
1055.3,13.5,0.0015739999999999999,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.00046601879484286894,0.29607293192050127,True
997.94,13.5,0.0034219999999999997,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.001460763732680081,0.42687426437173615,True
788.0,13.5,0.005546,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,0.963657919374317,173.75728802277624,True
771.83,13.5,0.0052759999999999994,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,1.9318805457571748,366.16386386603017,True
748.15,13.5,0.00569,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,,,False
696.24,13.5,0.008335,0.5,"{'nC7H16': 0.009458, 'O2': 0.2081, 'N2': 0.782442}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-1.yaml,pressure,d/dt max,,,False
1354.3,3.2,0.000108,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,4.587017480530244e-05,0.42472384078983744,True
1324.6,3.2,0.00017099999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,5.7841390028563615e-05,0.3382537428570972,True
1259.3,3.2,0.00036399999999999996,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.00010395686665960292,0.2855957875263817,True
1245.0,3.2,0.00048499999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.00012014115117643139,0.24771371376583792,True
1177.5,3.2,0.001178,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.0002627855170053165,0.22307768845952167,True
1131.6,3.2,0.001749,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-2.yaml,pressure,d/dt max,0.000503717198021009,0.2880029719960029,True
1325.7,6.5,0.00010899999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,3.0738968854057436e-05,0.2820088885693343,True
1268.7,6.5,0.000178,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,5.053132500401321e-05,0.2838838483371529,True
1273.2,6.5,0.000196,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,4.8439383996971185e-05,0.24713971427026116,True
1215.2,6.5,0.00042699999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-3.yaml,pressure,d/dt max,8.772518064134401e-05,0.20544538791883846,True
